titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"45 ANS";"Andrew HAIGH";"143394";"Tous publics";"GRANDE-BRETAGNE";"27/01/2016"
"A SECOND CHANCE";"Susanne BIER";"143704";"Interdiction aux mineurs -12 ans";"DANEMARK";"13/01/2016"
"ARRETE TON CINEMA !";"Diane KURYS";"140940";"Tous publics";"FRANCE";"13/01/2016"
"ARRETEZ MOI LA";"Gilles BANNIER";"131891";"Tous publics";"BELGIQUE, FRANCE";"06/01/2016"
"BANG GANG (UNE HISTOIRE D'AMOUR MODERNE)";"Eva HUSSON";"133846";"Interdiction aux mineurs -12 ans";"FRANCE";"13/01/2016"
"BEIJING STORIES";"Pengfei SONG";"140244";"Tous publics";"CHINE, FRANCE";"06/01/2016"
"CAROL";"Todd HAYNES";"143586";"Tous publics";"GRANDE-BRETAGNE";"13/01/2016"
"CHORUS";"François DELISLE";"143645";"Tous publics avec avertissement";"CANADA";"20/01/2016"
"CONTRE POUVOIRS";"Malek BENSMAIL";"143404";"Tous publics";"FRANCE";"27/01/2016"
"CREED, L'HERITAGE DE ROCKY BALBOA";"Ryan COOGLER";"143609";"Tous publics";"ETATS-UNIS";"13/01/2016"
"DAKAR, TA NOSTALGIE";"Florence ARRIGONI NERI";"142537";"Tous publics";"FRANCE";"06/01/2016"
"DANISH GIRL";"Tom HOOPER";"143775";"Tous publics";"GRANDE-BRETAGNE";"20/01/2016"
"DESERT DANCER";"Richard RAYMOND";"143587";"Tous publics";"GRANDE-BRETAGNE";"06/01/2016"
"EARLY WINTER";"Michael Leslie ROWE";"143663";"Tous publics";"CANADA";"06/01/2016"
"ENCORE HEUREUX";"Benoit GRAFFIN";"132610";"";"FRANCE";"27/01/2016"
"ET TA SOEUR ?";"Marion VERNOUX";"140079";"Tous publics";"FRANCE";"13/01/2016"
"EXPERIMENTER";"Michael ALMEREYDA";"143702";"Tous publics";"ETATS-UNIS";"27/01/2016"
"FRED BONDY, L HOMME CHANCEUX";"Louis Albert SERRUT";"142058";"Tous publics";"FRANCE";"15/01/2016"
"GAZ DE FRANCE";"Benoit FORGEARD";"130217";"Tous publics";"FRANCE";"13/01/2016"
"HAPPILY EVER AFTER";"Tatjana BOZIC";"144870";"Tous publics";"CROATIE";"27/01/2016"
"HOUSE OF TIME";"Jonathan HELPERT";"137555";"Tous publics";"FRANCE";"13/01/2016"
"JANE GOT A GUN";"Gavin O CONNOR";"143845";"Tous publics avec avertissement";"ETATS-UNIS";"27/01/2016"
"JANIS: LITTLE GIRL BLUE";"Amy BERG";"143612";"Tous publics";"ETATS-UNIS";"06/01/2016"
"J'AVANCERAI VERS TOI AVEC LES YEUX D'UN SOURD";"Laetitia CARTON ";"132894";"Tous publics";"FRANCE";"20/01/2016"
"JE SUIS LE PEUPLE";"Anna ROUSSILLON";"138839";"Tous publics";"FRANCE";"13/01/2016"
"JE TE SOUHAITE D'ETRE FOLLEMENT AIMEE";"Ounie LECOMTE";"128760";"Tous publics";"FRANCE";"06/01/2016"
"JE VEUX ETRE ACTRICE";"Frédéric SOJCHER";"143640";"Tous publics";"FRANCE";"20/01/2016"
"KOAN DE PRINTEMPS";"Lou MA HO";"143484";"Tous publics";"CORÉE DU SUD, FRANCE, VIETNAM";"27/01/2016"
"LA 5EME VAGUE";"Jonathan BLAKESON";"143552";"Tous publics avec avertissement";"ETATS-UNIS";"27/01/2016"
"LA FILLE DU PATRON";"Olivier LOUSTAU";"128706";"Tous publics";"FRANCE";"06/01/2016"
"LE 13EME JOUR";"Dominic HIGGINS, Ian HIGGINS";"143743";"Tous publics";"";"13/01/2016"
"LE CHANTEUR";"Remi LANGE";"141545";"Tous publics";"FRANCE";"27/01/2016"
"LE CONVOI";"Frederic SCHOENDOERFFER";"137441";"Interdiction aux mineurs -12 ans";"FRANCE";"20/01/2016"
"LE GARCON ET LA BETE";"Mamoru HOSODA";"143562";"Tous publics";"JAPON";"13/01/2016"
"LEGEND";"Brian HELGELAND";"143644";"Interdiction aux mineurs -12 ans";"GRANDE-BRETAGNE";"20/01/2016"
"LES 8 SALOPARDS";"Quentin TARANTINO";"143681";"Interdiction aux mineurs -12ans avec avertissement";"ETATS-UNIS";"06/01/2016"
"LES CHEVALIERS BLANCS";"Joachim LAFOSSE";"135065";"Tous publics";"BELGIQUE, FRANCE";"20/01/2016"
"LES DELICES DE TOKYO";"Naomi KAWASE";"142316";"Tous publics";"ALLEMAGNE, FRANCE, JAPON";"27/01/2016"
"LES DERNIERS SURVIVANTS";"Arnaud TOUSSAINT";"139975";"Tous publics avec avertissement";"ZAÏRE";"13/01/2016"
"LES ELUES";"David PABLOS";"143201";"";"";"20/01/2016"
"LES FILLES AU MOYEN AGE";"Hubert VIEL";"140709";"Tous publics";"FRANCE";"27/01/2016"
"LES PREMIERS LES DERNIERS";"Bouli LANNERS";"141070";"Tous publics";"BELGIQUE, FRANCE";"27/01/2016"
"LES SAISONS";"Jacques PERRIN, Jacques CLUZAUD";"126824";"Tous publics";"FRANCE";"27/01/2016"
"MADE IN FRANCE";"Nicolas BOUKHRIEF";"138495";"Tous publics avec avertissement";"FRANCE";"20/01/2016"
"MISTRESS AMERICA";"Noah BAUMBACH";"143578";"Tous publics";"ETATS-UNIS";"06/01/2016"
"MON MAITRE D ECOLE";"Emilie THEROND";"142242";"";"FRANCE";"13/01/2016"
"MYSTERIOUS OBJECT AT NOON";"Apichatpong WEERASETHAKUL";"143748";"Tous publics";"THAÏLANDE";"27/01/2016"
"NIGHT FARE";"Julien SERI";"142574";"Interdiction aux mineurs -12 ans";"FRANCE";"13/01/2016"
"PARIS - WILLOUBY";"Quentin REYNAUD, Arthur DELAIRE";"132956";"Tous publics";"FRANCE";"20/01/2016"
"RANDONNEURS AMATEURS";"Ken KWAPIS";"143756";"Tous publics";"ETATS-UNIS";"13/01/2016"
"SALAFISTES";"Lemine OULD SALEM, François MARGOLIN";"141704";"Interdiction aux mineurs -16 ans";"FRANCE";"27/01/2016"
"SEULS, ENSEMBLE";"David KREMER";"142851";"Tous publics";"FRANCE";"27/01/2016"
"SPOTLIGHT";"Tom MCCARTHY";"143741";"Tous publics";"ETATS-UNIS";"27/01/2016"
"THE BOY";"William BRENT BELL";"143832";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"27/01/2016"
"TOTO ET SES SOEURS";"Alexander NANAU";"143413";"Tous publics";"ROUMANIE";"06/01/2016"
"TOUT EN HAUT DU MONDE";"Remi CHAYE";"127017";"Tous publics";"DANEMARK, FRANCE";"27/01/2016"
"TOUT SCHUSS";"François PREVOT LEYGONIE, Stephan ARCHINARD";"137874";"Tous publics";"FRANCE";"13/01/2016"
"A UNE HEURE INCERTAINE";"Carlos SABOGA";"143834";"Tous publics avec avertissement";"";"10/02/2016"
"ALASKA";"Claudio CUPELLINI";"139841";"Tous publics";"FRANCE, ITALIE";"10/02/2016"
"ALVIN ET LES CHIPMUNKS: A FOND LA CAISSE";"Walt BECKER";"143734";"Tous publics";"ETATS-UNIS";"03/02/2016"
"AMIS PUBLICS";"Edouard PLUVIEUX";"142363";"Tous publics";"FRANCE";"17/02/2016"
"ANOMALISA";"Charlie KAUFMAN";"143501";"Tous publics";"ETATS-UNIS";"03/02/2016"
"AVE CESAR !";"Joel COEN, Ethan COEN";"144024";"Tous publics";"ETATS-UNIS";"17/02/2016"
"BEIRA MAR L'AGE DES PREMIERES FOIS";"Filipe MATZEMBACHER, Marcio REOLON";"143499";"Tous publics";"BRÉSIL";"17/02/2016"
"BELGICA";"Felix VAN GROENINGEN";"140841";"Interdiction aux mineurs -12 ans";"BELGIQUE, FRANCE, PAYS-BAS";"02/03/2016"
"CE SENTIMENT DE L'ETE";"Mikhael HERS";"126923";"Tous publics";"ALLEMAGNE, FRANCE";"17/02/2016"
"CELIBATAIRE, MODE D'EMPLOI";"Christian DITTER";"144026";"Tous publics";"ETATS-UNIS";"02/03/2016"
"CHAIR DE POULE";"Rob LETTERMAN";"143214";"Tous publics";"ETATS-UNIS";"10/02/2016"
"CHOCOLAT";"Roschdy ZEM";"141419";"Tous publics";"FRANCE";"03/02/2016"
"CRACHE COEUR";"Julia KOWALSKI";"140564";"Tous publics";"FRANCE, POLOGNE";"17/02/2016"
"DANS MA TETE UN ROND POINT";"Hassen FERHANI";"143950";"Tous publics";"FRANCE";"24/02/2016"
"DEADPOOL";"Tim MILLER";"143737";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"10/02/2016"
"DEUX REMI, DEUX";"Pierre LEON";"143473";"Tous publics";"FRANCE";"02/03/2016"
"DIRTY PAPY";"Dan MAZER";"143917";"Tous publics avec avertissement";"ETATS-UNIS";"03/02/2016"
"DOFUS LIVRE 1 JULITH";"Anthony ROUX, Jean Jacques DENIS";"138475";"Tous publics avec avertissement";"FRANCE";"03/02/2016"
